age_group,abs_est,abs_lower,abs_upper,prc_est,prc_lower,prc_upper,rate_est,rate_lower,rate_upper
0-5,-3752,-4295,-3209,-5.3,-6.1,-4.6,-31,-35,-26
6-10,-93,-238,52,-1.8,-4.5,1.0,-1,-2,0
11-19,693,432,954,4.4,2.7,6.0,4,2,5
20-29,10932,10593,11271,30.4,29.5,31.4,54,52,55
30-39,33387,32859,33915,52.1,51.3,52.9,182,179,185
40-49,77140,76281,77999,57.2,56.5,57.8,470,464,475
50-59,136988,135644,138332,55.3,54.7,55.8,1082,1071,1092
60-69,206926,205125,208727,59.7,59.2,60.2,2463,2441,2484
70+,325595,320424,330766,30.1,29.6,30.6,4887,4810,4965
all,787752,779841,795663,39.3,38.9,39.7,626,620,632
