age_group,abs_est,abs_lower,abs_upper,prc_est,prc_lower,prc_upper,rate_est,rate_lower,rate_upper
0-5,-1706,-2098,-1314,-4.4,-5.4,-3.4,-28,-34,-21
6-10,22,-82,126,0.8,-3.0,4.5,0,-1,2
11-19,350,164,536,3.9,1.8,5.9,4,2,5
20-29,7232,6955,7509,31.6,30.4,32.8,72,69,75
30-39,23007,22582,23432,56.4,55.4,57.4,261,256,266
40-49,52154,51523,52785,63.2,62.4,64.0,662,654,670
50-59,89639,88721,90557,62.4,61.7,63.0,1494,1479,1510
60-69,127530,126405,128655,66.5,65.9,67.1,3237,3209,3266
70+,191194,188416,193972,36.3,35.8,36.9,6296,6205,6388
all,489467,485048,493886,46.2,45.8,46.7,797,790,804
