age_group,abs_est,abs_lower,abs_upper,prc_est,prc_lower,prc_upper,rate_est,rate_lower,rate_upper
0-5,-1348,-1661,-1035,-5.8,-7.1,-4.4,-11,-14,-9
6-10,-92,-176,-8,-5.3,-10.1,-0.5,-1,-2,0
11-19,452,301,603,8.6,5.7,11.4,2,2,3
20-29,5580,5384,5776,46.6,45.0,48.3,27,26,28
30-39,17677,17372,17982,82.8,81.4,84.3,95,93,96
40-49,38759,38263,39255,86.2,85.1,87.4,235,232,238
50-59,64182,63406,64958,77.8,76.8,78.7,496,490,502
60-69,93751,92711,94791,81.2,80.3,82.1,1083,1071,1095
70+,146628,143643,149613,40.7,39.9,41.5,2182,2137,2226
all,365567,361000,370134,54.8,54.1,55.5,289,285,292
